x,y,value,cluster
image_001.png,image_001.png,1.0,0
image_002.png,image_001.png,0.075,0
image_003.png,image_001.png,0.138,0
image_004.png,image_001.png,0.513,0
image_005.png,image_001.png,0.829,0
image_006.png,image_001.png,0.739,0
image_007.png,image_001.png,0.784,0
image_008.png,image_001.png,0.543,0
image_009.png,image_001.png,0.716,0
image_010.png,image_001.png,0.965,0
image_001.png,image_002.png,0.196,1
image_002.png,image_002.png,1.0,1
image_003.png,image_002.png,0.834,1
image_004.png,image_002.png,0.833,1
image_005.png,image_002.png,0.209,1
image_006.png,image_002.png,0.792,1
image_007.png,image_002.png,0.301,1
image_008.png,image_002.png,0.653,1
image_009.png,image_002.png,0.152,1
image_010.png,image_002.png,0.296,1
image_001.png,image_003.png,0.78,1
image_002.png,image_003.png,0.54,1
image_003.png,image_003.png,1.0,1
image_004.png,image_003.png,0.604,1
image_005.png,image_003.png,0.82,1
image_006.png,image_003.png,0.97,1
image_007.png,image_003.png,0.135,1
image_008.png,image_003.png,0.925,1
image_009.png,image_003.png,0.232,1
image_010.png,image_003.png,0.698,1
image_001.png,image_004.png,0.013,1
image_002.png,image_004.png,0.479,1
image_003.png,image_004.png,0.899,1
image_004.png,image_004.png,1.0,1
image_005.png,image_004.png,0.53,1
image_006.png,image_004.png,0.676,1
image_007.png,image_004.png,0.531,1
image_008.png,image_004.png,0.838,1
image_009.png,image_004.png,0.42,1
image_010.png,image_004.png,0.958,1
image_001.png,image_005.png,0.151,2
image_002.png,image_005.png,0.528,2
image_003.png,image_005.png,0.716,2
image_004.png,image_005.png,0.223,2
image_005.png,image_005.png,1.0,2
image_006.png,image_005.png,0.975,2
image_007.png,image_005.png,0.979,2
image_008.png,image_005.png,0.174,2
image_009.png,image_005.png,0.147,2
image_010.png,image_005.png,0.809,2
image_001.png,image_006.png,0.711,0
image_002.png,image_006.png,0.179,0
image_003.png,image_006.png,0.213,0
image_004.png,image_006.png,0.238,0
image_005.png,image_006.png,0.66,0
image_006.png,image_006.png,1.0,0
image_007.png,image_006.png,0.195,0
image_008.png,image_006.png,0.357,0
image_009.png,image_006.png,0.869,0
image_010.png,image_006.png,0.409,0
image_001.png,image_007.png,0.357,2
image_002.png,image_007.png,0.243,2
image_003.png,image_007.png,0.777,2
image_004.png,image_007.png,0.027,2
image_005.png,image_007.png,0.514,2
image_006.png,image_007.png,0.17,2
image_007.png,image_007.png,1.0,2
image_008.png,image_007.png,0.322,2
image_009.png,image_007.png,0.32,2
image_010.png,image_007.png,0.609,2
image_001.png,image_008.png,0.494,1
image_002.png,image_008.png,0.118,1
image_003.png,image_008.png,0.585,1
image_004.png,image_008.png,0.895,1
image_005.png,image_008.png,0.174,1
image_006.png,image_008.png,0.244,1
image_007.png,image_008.png,0.254,1
image_008.png,image_008.png,1.0,1
image_009.png,image_008.png,0.362,1
image_010.png,image_008.png,0.123,1
image_001.png,image_009.png,0.305,2
image_002.png,image_009.png,0.23,2
image_003.png,image_009.png,0.969,2
image_004.png,image_009.png,0.231,2
image_005.png,image_009.png,0.165,2
image_006.png,image_009.png,0.292,2
image_007.png,image_009.png,0.515,2
image_008.png,image_009.png,0.103,2
image_009.png,image_009.png,1.0,2
image_010.png,image_009.png,0.639,2
image_001.png,image_010.png,0.323,1
image_002.png,image_010.png,0.111,1
image_003.png,image_010.png,0.464,1
image_004.png,image_010.png,0.771,1
image_005.png,image_010.png,0.585,1
image_006.png,image_010.png,0.464,1
image_007.png,image_010.png,0.035,1
image_008.png,image_010.png,0.752,1
image_009.png,image_010.png,0.63,1
image_010.png,image_010.png,1.0,1
